PairID,Protocol/Results,PMCID,Link,Text,Allocation sequence generation (select the best answer),Allocation concealment (select the best answer),Used full article
71,Protocol,PMC3193523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193523/,"...After eligibility is confirmed, participants are randomly assigned (1:1 ratio) using a web-based system to either the PA or SA intervention....A web browser application is used to manage screening, randomization, and follow-up visits....",Described‚ truly random ,Concealed,No
71,Results,PMC4266388,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266388/,,Not reported,Not reported,No
72,Protocol,PMC6597746,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597746/,"...Consent will be signed after they return and witnessed by the study investigator....A computer-based randomisation sequence will be generated before study commencement by an independent statistician....Two series of sequentially numbered, sealed, opaque envelopes containing the treatment assignment will be opened when eligibility criteria are met....",Described‚ truly random ,Concealed,No
72,Results,PMC8539308,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539308/,"...After the consent form was signed, subjects were randomized (sequentially numbered, sealed, opaque envelopes containing the treatment assignment) to three HFNC gas flows (50 L/min, GF:IF = 1.0, and GF:IF = 0.5)....",Not reported ,Concealed,No
73,Protocol,PMC5765655,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5765655/,"...Randomization process was conducted using a computer- generated random number list and consecutively numbered opaque envelopes containing the group allocation. These were prepared by a Clinical Coordinator not involved in the testing. Every study participant‚Äôs folder was prefilled by the Clinical Coordinator with all materials for the study, randomization envelope, consent forms, supplemental materials, and all data collection forms regardless of group assignment. This ensured that study staff would not know which group the patient would be assigned to before opening the envelope....Study staff opened the randomization envelope in the study office at the hospital, outside of the patient‚Äôs room after obtaining consent....",Described‚ truly random ,Concealed,No
73,Results,PMC7282578,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7282578/,...The randomization process was conducted using a computer-generated random-number list and consecutively numbered opaque envelopes containing the group allocation....,Described‚ truly random ,Concealed,No
74,Protocol,PMC4037747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4037747/,...We used http://www.randomize.net to produce the study randomization lists stratified by site. The lists were sent to the central pharmacy at ACH where an independent research pharmacist prepared consecutively numbered kits according to the randomization schedule....Study staff then log into http://www.randomize.net to randomize the patient....,Described‚ truly random ,Concealed,No
74,Results,PMC7242434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242434/,"...To sequentially assign children to probiotic or placebo, we employed a random- number‚Äìgenerating software, accessed through www.randomize.net, which was programed to use block sizes of 4 and 6, stratified according to site. The random allocation sequence was generated by the research pharmacy at the coordinating center. Participants were enrolled by research nurses or assistants at each site who provided caregiver with the allocation assignment....",Described‚ truly random ,Concealed,No
75,Protocol,PMC5634880,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634880/,"...The study coordinator will then obtain written informed consent from the patient, which will be obtained from participating clinicians before or at the time of patient consent....An independent statistician who is unaware of the design and purpose of the study will generate a randomization table by using Statistical Analysis System (SAS, version 9.4)....According to the design of the random program, the researcher will open one random envelope and obtain a randomization number for a patient on the day of inclusion....The manufacturer will label the random codes on the packaging, and the code labeling will conform to the principles of GCP....",Described‚ truly random ,Concealed,No
75,Results,PMC9822771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9822771/,"...An independent statistician who was unaware of the design and purpose of the study generated the randomization table using the Statistical Analysis System (SAS, version 9.4)....The random assignment form was sealed in an opaque envelope, and the project leader and statistician kept a copy. Participants received the number in the enrollment order and took the corresponding drugs....The manufacturer labeled the random codes on the packaging....",Described‚ truly random ,Concealed,No
76,Protocol,PMC4363354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4363354/,...Patients were asked for permission to be phoned by the project manager within few weeks after the first outpatient consultation....The randomisation program was developed by a statistician of the research group and administered by an independent research assistant....All except the statistician were blinded to the block sizes and allocation sequence. Couples were phoned by the project manager and informed about randomisation allocation....,Described‚ truly random ,Concealed,No
76,Results,PMC5873374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873374/,...All except the independent statistician were blinded to block sizes and allocation sequence....,Not reported ,Concealed,No
77,Protocol,PMC4328054,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328054/,"...The groups will be assigned consecutively in a centralized process carried out by the Research Support Unit of the Institut d‚Äô Investigaci√≥ en Atenci√≥ Prim√†ria (IDIAP) Jordi Gol, following a simple random number list computer-generated for this purpose using EPIDAT 3.0....",Described‚ truly random ,Concealed,No
77,Results,PMC8538243,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8538243/,"...The participants were assigned to either the intervention group or the control group by an external investigator....The participants were assigned randomly to the control group or the intervention group (1:1), using a centralized process carried out by the Research Support Unit of the IDIAP Jordi Gol based on a simple random number list generated with a computer for this purpose with the EPIDAT 3.0 program (Direcci√≥n Xeral de Sa√∫de P√∫blica da Conseller√≠a de Sanidade; Xunta de Galicia; Spain)....",Described‚ truly random ,Concealed,No
78,Protocol,PMC7931026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931026/,"...This was carried out after the baseline assessment by drawing of concealed opaque envelopes, each containing a red or green label (group code). The envelopes were prepared by an assistant who will not otherwise be involved in the study....",Unclear,Concealed,No
78,Results,PMC9225274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9225274/,...The randomization was performed after the baseline assessment by drawing concealed opaque envelopes containing a red or green label (group code) to conceal the allocation. The envelopes were prepared by a receptionist who was not otherwise involved in the study....,Unclear,Concealed,No
79,Protocol,PMC4074338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074338/,"...After providing verbal informed consent, a member of the staff trained in administering the SCID-IV will administer the Mood Disorders, Substance Use and Dependence, Psychotic Disorders, and Anxiety Disorder modules of the interview to confirm eligibility for the study and characterize the sample‚Äôs psychopathology appropriately....After completing the assessments, participants receive compensation.At the first meeting, a staff member not involved in the study conducts the randomization using a computerized random number generator and informs the participant‚Äôs therapist of the assigned therapy condition in person....",Described‚ truly random ,Concealed,No
79,Results,PMC4919206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919206/,,Not reported,Not reported,No
80,Protocol,PMC5838559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838559/,,Not reported,Not reported,No
80,Results,PMC7654934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654934/,,Not reported,Not reported,No
81,Protocol,PMC3039582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039582/,...Participants will then be randomised by computer assignment to continue 1600 mg (or half-dose) sevelamer with meals or receive an identical placebo for the remaining 36 weeks (Figure 1)....,Described‚ truly random ,Not reported,No
81,Results,PMC3636795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636795/,,Not reported,Not reported,No
82,Protocol,PMC8053307,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8053307/,"...The randomisation list is based on computer generated and stratified by clinical site. The patients are randomised, using an electronic case report (e-CRF) form (Research Electronic Data Capture-REDcap) to ensure allocation concealment. The sequence of treatment assignments was determined before the start of the study....",Described‚ truly random ,Concealed,No
82,Results,PMC8747778,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8747778/,"...The generated list was embedded in the Research Electronic Data Capture system to ensure allocation concealment....The sponsor's investigational drug unit, which is not part of the study team, held the information for treatment allocation....We express our sincere gratitude to the site's team members for their great effort and help enrolling participants (names are provided in Appendix S1) and all the healthcare workers who took care of the patients during this trial....",Described‚ truly random ,Concealed,Yes
83,Protocol,PMC5422966,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5422966/,...A research nurse will perform enrolment and the electronic randomisation....,Described‚ truly random ,Concealed,Yes
83,Results,PMC8820776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8820776/,"...Participants were randomly assigned to 1 of the 2 study groups after consenting to participate with a 1:1 allocation through a computer system creating the allocation sequence with a block size of 4, unknown to personnel....Participants were recruited and assigned study groups by a research nurse who also distributed baseline questionnaires....",Described‚ truly random ,Concealed,No
84,Protocol,PMC4617887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617887/,...Patients will be randomized in a 1:1 ratio to hemiarthroplasty or total hip arthroplasty using concealed envelopes in batch sizes of 10....,Unclear,Concealed,No
84,Results,PMC6613852,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6613852/,"...We used sealed envelopes, and the randomization was stratified for sex to ensure that the sex distribution would be the same in both groups....",Unclear,Concealed,No
85,Protocol,PMC4738785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4738785/,"...Papers with these numbers were then put in separate but identical balloons, and three other papers that stated ‚Äútry again‚Äù in three other identical baloons....",Described‚ truly random ,Concealed,Yes
85,Results,PMC7083321,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083321/,"...To facilitate transparency within the community, the 60 camps were randomly assigned (1:1 ratio) to either the intervention or control condition, in which they received a brief delayed intervention after the study‚Äôs conclusion, during a meeting of our Community Advisory Board (CAB) using an allocation process implemented by one selected CAB representative. The random assignment to condition was conducted after the baseline assessment (described below)....",Unclear,Not reported,No
86,Protocol,PMC4660775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4660775/,"...They will be contacted by the investigators by telephone, and informed about the trial....The random allocation sequence will be computer-generated. The allocation list is available only to the GMP-certified Hospital Pharmacy, where the study medication was produced and labeled, and to the Hospital Pharmacies of both study locations, where the study medication is conserved and provided. The manufacturer of the investigational medicinal products (GMP-certified Hospital Pharmacy) will randomize the allocation sequence; bottles consecutively issued by the study pharmacies will therefore contain either propranolol or placebo capsules in a random order....",Described‚ truly random ,Concealed,No
86,Results,PMC8899208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899208/,...The random allocation sequence was computer-generated by the manufacturer of the investigational medicinal products (Good Manufacturing Practices-certified hospital pharmacy)....,Described‚ truly random ,Concealed,Yes
87,Protocol,PMC4696142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696142/,"...At the beginning of this appointment, staff meets individually with each participant to obtain written informed consent....The allocation assignments for each site are generated using a SAS program written by the data analyst, who has no contact with participants....In these cases, the data analyst prepares sealed, numbered envelopes containing the next allocation assignments for the site. As each woman completes her baseline visit, she is assigned the next envelope in the series....",Described‚ truly random ,Concealed,No
87,Results,PMC5562172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562172/,...Women were randomly assigned using a random digit generator after the baseline interview....,Described‚ truly random ,Not reported,No
88,Protocol,PMC5961554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961554/,"...#### Randomisation and allocation concealment An independent statistician will conduct randomisation, using a computer random number generator of SAS Analytics Pro (SAS Institute). Allocation will be implemented by the manufacturers who collectively label participant‚Äôs identification code on the packages of the test drug or a placebo using generated random numbers. This labelled drug will be given to the management pharmacist. When the investigator requests medication, the management pharmacist gives the participant the drug corresponding to the participant‚Äôs identification code. Only the statistician and manufacturer have access to the random numbers, and they will sign and submit a written non-disclosure agreement. After that, just the identification code is used to identify which drug to give to which participant. We will allocate three groups (wind-heat, wind-cold or others) at a 1:1:1 ratio of high-dose, standard-dose and placebo treatment. Stratified block randomisation using the Korean Standard Tool of Pattern Identifications of Cough and Sputum will be performed in this trial....",Described‚ truly random ,Concealed,No
88,Results,PMC8801800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801800/,"...Randomization was conducted using a computer random number generator in SAS Analytics Pro (SAS Institute) by an independent statistician. Allocation was implemented by the manufacturers who collectively labeled the participant‚Äôs identification codes with the packages of the test drug or placebo using generated random numbers....Only the statistician and manufacturer had access to the random numbers, and only the identification code was used to identify which drug to give to which participant....",Described‚ truly random ,Concealed,No
89,Protocol,PMC3407514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407514/,"...Once consent is obtained, a study staff member will telephone or go to the home of the participant to complete a baseline survey....Participants will be allocated to the intervention or control arms via a computerized program....The randomization sequence was generated by a statistician who is not involved with the study....",Described‚ truly random ,Concealed,No
89,Results,PMC5293604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293604/,"...Eligible participants were identified by systematic electronic medical record review at the YVFWC, and contacted by clinic staff....",Not reported ,Concealed,Yes
90,Protocol,PMC5898565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898565/,"...The subjects will then be screened via an interview by their physician to assess whether or not they meet inclusion/exclusion criteria for the study....Subjects who have been recruited and consented for the study will be randomly assigned to either group in a ratio of 1:1 by means of a computer-generated random numbers (Fig. 1). Randomization of patients into the appropriate study groups will be performed by the IDS at University of Connecticut Health Center by using a series of consecutively numbered sealed opaque envelopes, and therefore the sequence of allocation will be concealed....The clinical team will not have access and will be blinded to the randomization schedule....",Described‚ truly random ,Concealed,No
90,Results,PMC6347742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347742/,"...Randomization of subjects into the appropriate study groups was performed by the University Institutional Drug Services (IDS) with a series of consecutively numbered sealed opaque envelopes, therefore concealing the sequence of allocation....Eligible subjects were recruited by the research staff and consented for the study prior to commencing an IVF cycle....",Described‚ truly random ,Concealed,Yes
91,Protocol,PMC4683762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683762/,...The first contact will be made by the research team by phone or Email....Those who will be considered eligible for the study will be randomised in blocks of 20 (2 therapy groups) using an online site (www.sealedenvelope.com)....An investigator external to the site (PH) will administer the allocation which will be concealed and revealed only to trial therapists and therapy supervisors until the final participant completes follow-up....,Described‚ truly random ,Concealed,No
91,Results,PMC9131673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9131673/,"...This allocation of intervention to the 10 groups was conducted by an investigator (PH) external to the site, using a computer-generated sequence facilitated by the sealed envelope website (www.sealedenvelope.com). Only three researchers (PH, AMC and MAP) and the therapists had access to this allocation....",Described‚ truly random ,Concealed,No
92,Protocol,PMC6503132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503132/,"...Study staff made a presentation as part of the introductory remarks....At the baseline visit, a study coordinator reviewed and individually discussed with potential participants the dietary supplements they were currently consuming....The block size was known only to the statistician leading the study and was unknown to the investigators....",Described‚ truly random ,Not reported,Yes
92,Results,PMC8228047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8228047/,"...Study coordinators also explained and reviewed the inclusion/exclusion information....Study participants then signed the informed consent and HIPAA documents, participated in the baseline enrollment study series of assessments, were randomized using a blinded code system generated and known only by the lead study statistician and the medical monitor, and received their first 8-week supply of study DSs....The block size and assignments (experimental or control group) were unknown to the investigators and were only known by the lead study statistician (JCN) and the medical monitor (RJM)....",Described‚ truly random ,Concealed,No
93,Protocol,PMC4966873,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966873/,...The allocation sequence will be prepared by an independent person not otherwise involved in the trial....,Unclear,Not reported,Yes
93,Results,PMC9224093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224093/,...The allocation sequence was prepared by an independent person not otherwise involved in the clinical trial....,Unclear,Not reported,Yes
94,Protocol,PMC3146889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146889/,"...Randomization will be carried out by use of a random number table maintained in the University of Michigan Investigational Drug Service (IDS)....The research team will provide the IDS staff with a list of unique identifying numbers prior to the start of recruitment and, at the time of randomization, will inform the staff of the study identification number of each participant to be randomized. The IDS staff will then randomize participants to one of three study arms using a random number table: intervention #1, intervention #2, or placebo and will maintain randomization records until the last participant has completed the protocol....",Described‚ truly random ,Concealed,No
94,Results,PMC4010222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010222/,...Randomization was carried out using a random number table maintained in the University of Michigan Investigational Drug Service....,Described‚ truly random ,Not reported,No
95,Protocol,PMC3155829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155829/,"...Randomization sequences were generated, stratified by site in pre-determined block sizes by the Data Centre. Randomization codes have been concealed from investigators at the trial sites using sealed sequentially numbered, opaque envelopes. A copy of the randomization list is securely stored at the Data Centre. The envelopes are numbered sequentially externally. Inside each one there is a randomization sheet with the same sequential number as well as the treatment allocation. These randomization sheets are filed in the source documents which the monitor verifies at each site visit to confirm that only one envelope was opened for each patient to ensure integrity of the randomization process....",Described‚ truly random ,Concealed,No
95,Results,PMC5023160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023160/,"...Site investigators were blinded to block size and codes were concealed in sealed sequentially numbered, opaque envelopes under the control of the site investigator....",Unclear,Concealed,No
96,Protocol,PMC4807574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4807574/,"...Twelve participants for each status were drawn by lots by the trial coordinator among each status population (until all consented) and randomized to form different teams....A second randomization was performed on the 12 MDTs by the methodologist to obtain the two groups: an experimental group constituted by 6 MDTs to undertake a simulation session every 6 weeks, i.e., 9 simulation sessions over 1 year, and a control group constituted by 6 MDTs to undertake a simulation session every 6 months, i.e., 3 simulation sessions over 1 year....",Unclear,Not reported,No
96,Results,PMC6657860,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657860/,...Twelve participants for each status were drawn by lots by the trial coordinator among each status population (until all consented) and randomized to form different teams....A second randomization was performed on the 12 MDTs by the methodologist to successively constitute teams from the first to the twelfth....,Unclear,Not concealed,Yes
97,Protocol,PMC4827169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4827169/,"...Randomization was performed by random selection of sealed envelopes containing the intervention allocation stratified by municipality, in the presence of school leaders, municipality representatives and study researchers....",Described‚ truly random ,Concealed,No
97,Results,PMC6296522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6296522/,"...Randomization was performed by random selection of sealed envelopes containing the intervention allocation stratified by municipality, in the presence of school leaders, municipality representatives and study researchers....",Described‚ truly random ,Concealed,No
98,Protocol,PMC3543344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3543344/,"...Therefore, each collaborative site will select two staff to directly participate in the project: one to recruit and coordinate program activities, and a second to deliver the intervention....",Not reported ,Not reported,No
98,Results,PMC5412730,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412730/,"...Screening for eligibility and informed consent was performed by trained, bilingual-bicultural university research staff....The randomization sequence was concealed using opaque envelopes....",Described‚ truly random ,Concealed,Yes
99,Protocol,PMC3165063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3165063/,,Not reported,Not reported,No
99,Results,PMC6355152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355152/,,Not reported,Not reported,No
100,Protocol,PMC3661346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661346/,"...Prior to the start of the school year, the PI and project manager inform each principal regarding the randomization status of his or her respective school to assist each principal with future planning....",Not reported ,Not reported,No
100,Results,PMC6982403,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982403/,"...The intervention was implemented across three years (2012‚àí2015), with eight schools (four intervention and four control, randomly allocated by a statistician) participating each year....",Described‚ truly random ,Concealed,Yes
